Feature,Importance
Gear_Manual,0.3618905867283628
YOM,0.18802668330427277
Engine (cc),0.1264176135771158
Model_Encoded,0.07333915140043876
Car_Age,0.04299536541043562
Millage(KM),0.04058877259901181
Mileage_Per_Year,0.036890658779156135
Brand_Encoded,0.0319178648913888
Brand_Popularity,0.02892433902892356
Is_Luxury,0.02672844381862473
Is_Popular_Brand,0.014958858360193126
Town_Encoded,0.009750425970332106
Equipment_Score,0.004945982537991883
Leasing_Ongoing Lease,0.003321282421671697
Fuel Type_Petrol,0.001967047504952405
POWER MIRROR,0.0018628285444699127
Engine_Category_Large,0.0013179746311494016
Engine_Category_Medium,0.001273749971400608
Fuel Type_Hybrid,0.0009538558716476787
Engine_Category_Very_Large,0.0006499648721469855
POWER WINDOW,0.00040559446557922405
AIR CONDITION,0.00025623057794578073
POWER STEERING,0.00019934848181528867
Fuel Type_Electric,0.00015978599084601487
Condition_USED,0.0001323014483106509
Post_Import_Restriction,0.00012528881181646327
